,Name,Distance,Mass,Radius
242,2MASSW J1506544+132106,46,69,1.02
243,2MASS 1507−1627,23.9,60,0.99
244,TVLM 868-110639,53,79,1.08
246,2MASSW J1515008+484742,34,57,0.99
247,2MASSI J1526140+204341,67,54,0.98
248,DENIS-P J153941.96-052042.4,51,63,1.00
249,2MASS J15462718-3325111,37,44,0.94
250,2MASSW J1552591+294849,68,30,1.43
251,2MASSW J1555157-095605,44,71,1.03
252,2MASS J16150413+1340079,48,42,0.94
253,SDSSp J162414.37+002915.6,36,43,0.94
254,2MASS J16262034+3925190,110,71,1.03
255,2MASSW J1632291+190441,50,49,0.97
256,WISEPA J164715.59+563208.2,28,41,0.94
257,LSPM J1658+7027,60,73,1.04
258,2MASSI J1726000+153819,114,24,1.40
260,SDSSp J175032.96+175903.9,90,47,0.97
261,2MASS J18283572-4849046,39,45,0.95
262,LSR J1835+3259,18.5,77,1.07
263,2MASSW J1841086+311727,138,67,1.01
264,2MASS J18432213+4040209,46,96,1.22
265,2MASS J20004841-7523070,105,25,1.88
266,SDSS J204749.61-071818.3,65,46,0.96
267,2MASSI J2057540-025230,47,70,1.02
269,2MASSI J2104149-103736,62,69,1.02
270,PSO J318.5−22,80,6.5,1.53
271,HB 2124-4228,113,94,1.21
272,2MASS J21392676+0220226,32.1,46,0.96
273,2MASS J21481628+4003593,26.3,55,0.99
275,2MASSW J2206450-421721,93,22,1.33
276,2MASSW J2208136+292121,154,27,1.41
277,2MASSW J2224438-015852,38,61,0.99
278,2MASS J22282889-4310262,35,42,0.94
279,2MASS J22373255+3922398,64,73,1.04
280,2MASSW J2244316+204343,56,12,1.29
281,2MASS J23224684-3133231,56,24,1.39
282,2MASS J23225299-6151275,148,17,1.59
283,2MASS J23515044-2537367,67,88,1.16
284,2MASSI J2356547-155310,74,80,1.09
322,WISE 0410+1502,20,6,1.17
326,WISE 0458+6434,35.9,15,4.2
327,WISE 0458+6434,35.9,10,3.8
381,WISE 1405+5534,25.3,30,0.86
